,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name,win_team,loss_team
0,47179,2019-01-30T00:00:00.000Z,126,4,False,2018,Final, ,94,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Boston Celtics,Charlotte Hornets
1,48751,2019-02-09T00:00:00.000Z,112,4,False,2018,Final,     ,123,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,13,LAC,LA,West,Pacific,LA Clippers,Clippers,LA Clippers,Boston Celtics
2,48739,2019-02-08T00:00:00.000Z,117,4,False,2018,Final,     ,110,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,Philadelphia 76ers,Denver Nuggets
3,48740,2019-02-08T00:00:00.000Z,119,4,False,2018,Final,     ,106,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Washington Wizards,Cleveland Cavaliers
4,48746,2019-02-08T00:00:00.000Z,102,4,False,2018,Final,     ,96,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Sacramento Kings,Miami Heat
5,48762,2019-02-11T00:00:00.000Z,121,4,False,2018,Final,     ,112,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Detroit Pistons,Washington Wizards
6,48745,2019-02-08T00:00:00.000Z,122,4,False,2018,Final,     ,117,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,New Orleans Pelicans,Minnesota Timberwolves
7,48748,2019-02-09T00:00:00.000Z,105,4,False,2018,Final,     ,90,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Indiana Pacers,Cleveland Cavaliers
8,48749,2019-02-09T00:00:00.000Z,120,4,False,2018,Final,     ,129,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Charlotte Hornets,Atlanta Hawks
9,48747,2019-02-09T00:00:00.000Z,125,4,False,2018,Final,     ,105,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,Utah Jazz,San Antonio Spurs
10,48752,2019-02-09T00:00:00.000Z,125,4,False,2018,Final,     ,134,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Washington Wizards,Chicago Bulls
11,48756,2019-02-10T00:00:00.000Z,102,4,False,2018,Final,     ,101,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,Dallas Mavericks,Portland Trail Blazers
12,48760,2019-02-10T00:00:00.000Z,143,4,False,2018,Final,     ,120,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,Philadelphia 76ers,Los Angeles Lakers
13,48757,2019-02-10T00:00:00.000Z,117,4,False,2018,Final,     ,104,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,Sacramento Kings,Phoenix Suns
14,48755,2019-02-09T00:00:00.000Z,83,4,False,2018,Final,     ,103,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,Orlando Magic,Milwaukee Bucks
15,48754,2019-02-09T00:00:00.000Z,112,4,False,2018,Final,     ,117,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Oklahoma City Thunder,Houston Rockets
16,48759,2019-02-10T00:00:00.000Z,120,4,False,2018,Final,     ,118,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Golden State Warriors,Miami Heat
17,48758,2019-02-10T00:00:00.000Z,108,4,False,2018,Final,     ,124,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,Orlando Magic,Atlanta Hawks
18,48766,2019-02-11T00:00:00.000Z,120,4,False,2018,Final,     ,104,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,Houston Rockets,Dallas Mavericks
19,48764,2019-02-11T00:00:00.000Z,127,4,False,2018,Final,     ,125,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,Toronto Raptors,Brooklyn Nets
20,48770,2019-02-12T00:00:00.000Z,117,4,False,2018,Final,     ,113,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,Atlanta Hawks,Los Angeles Lakers
21,48763,2019-02-11T00:00:00.000Z,99,4,False,2018,Final,     ,90,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Indiana Pacers,Charlotte Hornets
22,48765,2019-02-11T00:00:00.000Z,99,4,False,2018,Final,     ,112,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Milwaukee Bucks,Chicago Bulls
23,48774,2019-02-12T00:00:00.000Z,115,4,False,2018,Final,     ,108,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Golden State Warriors,Utah Jazz
24,48772,2019-02-12T00:00:00.000Z,107,4,False,2018,Final,     ,108,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,San Antonio Spurs,Memphis Grizzlies
25,48775,2019-02-13T00:00:00.000Z,139,7,False,2018,Final,     ,148,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,Brooklyn Nets,Cleveland Cavaliers
26,48771,2019-02-12T00:00:00.000Z,109,4,False,2018,Final,     ,112,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Boston Celtics,Philadelphia 76ers
27,48773,2019-02-12T00:00:00.000Z,88,4,False,2018,Final,     ,118,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,Orlando Magic,New Orleans Pelicans
28,48781,2019-02-13T00:00:00.000Z,121,4,False,2018,Final,     ,111,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Minnesota Timberwolves,Houston Rockets
29,48787,2019-02-14T00:00:00.000Z,131,4,False,2018,Final,     ,122,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,New Orleans Pelicans,Oklahoma City Thunder
30,48776,2019-02-13T00:00:00.000Z,97,4,False,2018,Final,     ,106,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Milwaukee Bucks,Indiana Pacers
31,48777,2019-02-13T00:00:00.000Z,118,4,False,2018,Final,     ,110,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,Boston Celtics,Detroit Pistons
32,48778,2019-02-13T00:00:00.000Z,111,4,False,2018,Final,     ,126,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,Philadelphia 76ers,New York Knicks
33,48780,2019-02-13T00:00:00.000Z,122,4,False,2018,Final,     ,110,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,Chicago Bulls,Memphis Grizzlies
34,48793,2019-02-21T00:00:00.000Z,98,4,False,2018,Final,     ,97,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Milwaukee Bucks,Boston Celtics
35,48806,2019-02-23T00:00:00.000Z,112,4,False,2018,Final,     ,107,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,Cleveland Cavaliers,Memphis Grizzlies
36,48796,2019-02-22T00:00:00.000Z,109,4,False,2018,Final,     ,110,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,Chicago Bulls,Orlando Magic
37,48779,2019-02-13T00:00:00.000Z,129,4,False,2018,Final,     ,120,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Toronto Raptors,Washington Wizards
38,48782,2019-02-13T00:00:00.000Z,101,4,False,2018,Final,     ,112,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Miami Heat,Dallas Mavericks
39,48784,2019-02-13T00:00:00.000Z,129,4,False,2018,Final,     ,107,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Portland Trail Blazers,Golden State Warriors
40,48791,2019-02-21T00:00:00.000Z,106,4,False,2018,Final,     ,102,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Philadelphia 76ers,Miami Heat
41,48795,2019-02-21T00:00:00.000Z,111,4,False,2018,Final,     ,106,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Los Angeles Lakers,Houston Rockets
42,48834,2019-02-27T00:00:00.000Z,113,4,False,2018,Final,     ,118,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Houston Rockets,Charlotte Hornets
43,48802,2019-02-22T00:00:00.000Z,106,4,False,2018,Final,     ,112,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,13,LAC,LA,West,Pacific,LA Clippers,Clippers,LA Clippers,Memphis Grizzlies
44,48829,2019-02-25T00:00:00.000Z,110,4,False,2018,Final,     ,111,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,Philadelphia 76ers,New Orleans Pelicans
45,48833,2019-02-26T00:00:00.000Z,121,4,False,2018,Final,     ,112,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Denver Nuggets,Oklahoma City Thunder
46,48844,2019-02-27T00:00:00.000Z,125,4,False,2018,Final,     ,119,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,Los Angeles Lakers,New Orleans Pelicans
47,48859,2019-03-02T00:00:00.000Z,112,4,False,2018,Final,     ,117,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,Orlando Magic,Indiana Pacers
